,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
337,__Samimiyet__,Hayata Tebessüm☺🙂,,6048,6846,112814,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
338,LaikYobaz_,Entellektüel,İzmir,2257,2021,70954,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
339,mehmetbayburt69,"RTE
~Ölmek istemeyeceğin yerde bulunma~
Rt

Gruplara alabilirsiniz.",Bayburt,4112,4038,33899,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
340,osmanlinz,Sen Yoksan Biz Bir Eksiğiz.,,4500,4546,95726,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
341,Meralayr1,@cl_meral // @r__lcayirmeral,,8177,9144,138006,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
342,ismailorakrt,"Bu yedek hesabımdır.  
Gündüzler herkese konuşur, geceler ehline fısıldar...


Ana hesabım👉 @ismailorak06",,3912,3944,78836,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
343,cindy_qirL,,,1325,1246,8850,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
344,bir__olacagiz,,,1716,1610,23477,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
345,KElma_grup1,Kime nee,,410,368,8068,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
346,Rt_cezveci_lmaz,"🇹🇷 İslam 🇹🇷 Vatan 🇹🇷 Bayrak 🇹🇷 Reis 🇹🇷
            Ana hesap 🦂@cezveci_lmaz🦂",,2157,2102,31305,0,"Hoşgeldin Gözümüzün Nûrû♥️
#Ramadan

Sen geldin bak o gitti

Sigarasız 7 günn 👍🏻👍🏻👏🏻👏🏻

Sigarasız Hayatt!!!
Çok dah… https://t.co/CScSr6HRLP",['Ramadan']
